Date,Hoeveelheid,Cumulatief
20-11-2020,56,9165
21-11-2020,48,9213
22-11-2020,45,9258
23-11-2020,45,9303
24-11-2020,57,9360
25-11-2020,55,9415
26-11-2020,54,9469
27-11-2020,47,9516
28-11-2020,38,9554
29-11-2020,48,9602
30-11-2020,51,9653
1-12-2020,53,9706
2-12-2020,51,9757
3-12-2020,25,9782
4-12-2020,42,9824
5-12-2020,39,9863
6-12-2020,46,9909
7-12-2020,48,9957
8-12-2020,55,10012
9-12-2020,45,10057
10-12-2020,59,10116
11-12-2020,57,10173
12-12-2020,61,10234
13-12-2020,56,10290
14-12-2020,78,10368
15-12-2020,73,10441
16-12-2020,60,10501
17-12-2020,63,10564
18-12-2020,60,10624
19-12-2020,73,10697
20-12-2020,70,10767
21-12-2020,75,10842
22-12-2020,78,10920
23-12-2020,72,10992
24-12-2020,83,11075
25-12-2020,79,11154
26-12-2020,74,11228
27-12-2020,88,11316
28-12-2020,92,11408
29-12-2020,93,11501
30-12-2020,58,11559
31-12-2020,68,11627
1-1-2021,49,11676
2-1-2021,53,11729
3-1-2021,56,11785
4-1-2021,33,11818
5-1-2021,0,11818
